id;nomer;cxema;sost;kod_po;kod_p;uzel_p;pr_p;kod;uzel;pr;kod_cekz_p;kod_co;uzel_co;pr_co;kod1_gv;uzel1_gv;pr1_gv;kod2_gv;uzel2_gv;pr2_gv;nomer_building;name_building;h;k_akkuml;kodur;kodtr;kod_gvs;kodkv;geodz;otoplz;otopln;otn_fs;otopl_tp;ventil;kondiz;txz;txop;txoo;gvop;gvoo;gvpr;gvsm;gvps;gvpw;uf;gvs_max;rez;t_pot_rez;utechp;utecho;prznz;prznp;przno;pp;po;g_otoplz;g_otopln;g_ventil;g_kondiz;g_gvop;g_gvoo;g_rez;g_gvpr;g_gvsm;g_gvps;g_gvpw;gsz;gszl;gszpr;gsop;gsoppr;gsoo;gsoopr;pr_avar_tp;a13;a15;a14;a17;pr_sopr;pr_teplo;a7;a8;a9;a10;a11;a12;a18;a19;a19_co;a22;a23;pr_shaibi;pr_per_pd;p_per_pd;tr_tv_co;tr_tv_cv;tr_gvs;pr_uchet;a24;a25;pr_avtomat;pp_fact;po_fact;kod_owner;otv;nomer_regist;contract;datenew;motiv1_date;motiv1;motiv2_date;motiv2;kol_remount;vers;date_archives;apxiv;operator;memo;f_otoplz;f_otopln;f_otn_fs;f_otopl_tp;f_ventil;f_kondiz;f_txz;f_txop;f_txoo;f_gvop;f_gvoo;f_gvpr;f_gvsm;f_gvps;f_gvpw;p_otoplz;p_otopln;p_otn_fs;p_otopl_tp;p_ventil;p_kondiz;p_txz;p_txop;p_txoo;p_gvop;p_gvoo;p_gvpr;p_gvsm;p_gvps;p_gvpw
11;12;5.9;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;0;3;3;3;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0
12;13;4.9;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;0;0;0;0;0;3;3;3;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0
13;14;6.1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;0;0;3;0;3;0;0;0;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0
14;15;7.1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;0;0;3;0;3;0;0;0;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0
15;16;6.5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;3;0;0;0;3;0;0;3;0;3;0;0;0;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0
16;17;7.5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;3;0;0;0;3;0;0;3;0;3;0;0;0;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0
17;18;6.9;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;0;0;3;0;3;0;0;3;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0
18;19;7.9;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;0;0;3;0;3;0;0;3;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0
19;20;6.2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;0;0;3;3;3;0;0;0;0;0;3;3;3;2;0;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0
20;21;6.6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;3;0;0;0;3;0;0;3;3;3;0;0;0;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0
21;22;6.10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;0;0;3;3;3;0;0;3;0;0;3;3;3;2;0;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0
22;23;7.2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;0;0;3;3;3;0;0;0;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0
23;24;7.6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;3;0;0;0;3;0;0;3;3;3;0;0;0;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0
24;25;7.10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;0;0;3;3;3;0;0;3;0;0;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0
25;26;3.6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;0;0;0;3;0;0;0;0;0;0;3;0;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0
26;27;4.2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;0;0;0;0;0;3;3;0;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0
27;28;3.10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;0;0;0;0;0;0;3;3;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0
28;29;3.2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0
29;30;4.10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;0;0;0;0;0;3;3;3;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0
30;31;5.6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;3;0;0;3;0;0;0;0;0;3;3;0;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0
31;32;4.6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;0;0;0;3;0;0;0;0;0;3;3;0;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0
32;33;5.2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;0;3;3;0;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0
33;34;5.10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;0;3;3;3;3;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0
34;35;2.1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;3;3;0;2;0;1;0;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
35;36;1.2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;3;3;3;2;2;0;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0
36;37;1.4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;3;3;3;2;2;0;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0
37;38;1.6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;0;0;3;0;0;3;3;3;2;2;0;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0
38;39;3.3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0
